회계연도,지역명,자치단체명,본청여부,당초예산,최종예산,증감액,증감률
2012,서울,서울관악구,N,377421007000,412800000000,35378993000,9.3739
2012,서울,서울광진구,N,293668538000,352100000000,58431462000,19.8971
2012,서울,서울구로구,N,364380164000,422500000000,58119836000,15.9503
2012,서울,서울금천구,N,262453971000,309300000000,46846029000,17.8492
2012,서울,서울노원구,N,458361205000,522200000000,63838795000,13.9276
2012,서울,서울도봉구,N,288134595000,338500000000,50365405000,17.4798
2012,서울,서울동대문구,N,348776224000,400200000000,51423776000,14.7441
2012,서울,서울동작구,N,329281315000,373900000000,44618685000,13.5503
2012,서울,서울마포구,N,376480209000,424400000000,47919791000,12.7284
2012,서울,서울본청,Y,24343667131000,24573200000000,229532869000,0.9429
2012,서울,서울서대문구,N,287141785000,329900000000,42758215000,14.891
2012,서울,서울서초구,N,490357786000,533300000000,42942214000,8.7573
2012,서울,서울성동구,N,325005872000,367700000000,42694128000,13.1364
2012,서울,서울성북구,N,385161334000,430500000000,45338666000,11.7713
2012,서울,서울송파구,N,465186843000,510000000000,44813157000,9.6334
2012,서울,서울양천구,N,364979718000,414600000000,49620282000,13.5954
2012,서울,서울영등포구,N,358492854000,451200000000,92707146000,25.8602
2012,서울,서울용산구,N,273825256000,318000000000,44174744000,16.1325
2012,서울,서울은평구,N,365179286000,414800000000,49620714000,13.588
2012,서울,서울종로구,N,324846535000,393300000000,68453465000,21.0726
2012,서울,서울중구,N,288315043000,330500000000,42184957000,14.6315
2012,서울,서울중랑구,N,338646902000,369900000000,31253098000,9.2288
2012,울산,울산남구,N,258407382000,319400000000,60992618000,23.6033
2012,울산,울산동구,N,141132896000,167500000000,26367104000,18.6825
2012,울산,울산본청,Y,2673772410000,3001100000000,327327590000,12.2422
2012,울산,울산북구,N,171063268000,207500000000,36436732000,21.3001
2012,울산,울산울주군,N,472557420000,572400000000,99842580000,21.1281
2012,울산,울산중구,N,228271874000,276500000000,48228126000,21.1275
2012,인천,인천강화군,N,350852862000,382700000000,31847138000,9.0771
2012,인천,인천계양구,N,248349018000,275100000000,26750982000,10.7715
2012,인천,인천남구,N,337030740000,350100000000,13069260000,3.8778
2012,인천,인천남동구,N,423724097000,479500000000,55775903000,13.1633
