회계연도,시도명,계층,세목명,금액,비중
2014,경남,시,과년도수입,20686864000,0.15
2014,경남,시,담배소비세,175155814000,1.29
2014,경남,시,도시계획세(재산세),145942000,0
2014,경남,시,도축세,0,0
2014,경남,시,자동차세,456533195000,3.36
2014,경남,시,재산세,378952496000,2.79
2014,경남,시,주민세,92077900000,0.68
2014,경남,시,지방소득세,493495662000,3.63
2014,경남,시,지역자원시설세,20595325000,0.15
2014,경남,시도,과년도수입,3692657000,0
2014,경남,시도,담배소비세,0,0
2014,경남,시도,등록면허세,110162516000,0.24
2014,경남,시도,레저세,106742796000,0.23
2014,경남,시도,자동차세,0,0
2014,경남,시도,지방교육세,378188505000,0.83
2014,경남,시도,지역자원시설세,50076601000,0.11
2014,경남,시도,취득세,1212997494000,2.64
2014,경북,군,과년도수입,-186364000,-0.01
2014,경북,군,담배소비세,36696788000,1.79
2014,경북,군,도시계획세(재산세),2547000,0
2014,경북,군,도축세,0,0
2014,경북,군,자동차세,82121818000,4
2014,경북,군,재산세,46110280000,2.24
2014,경북,군,주민세,8542469000,0.42
2014,경북,군,지방소득세,44917991000,2.19
2014,경북,군,지역자원시설세,0,0
2014,경북,시,과년도수입,15525797000,0.11
2014,경북,시,담배소비세,136576777000,1
2014,경북,시,도시계획세(재산세),138995000,0
2014,경북,시,도축세,0,0
2014,경북,시,자동차세,322340272000,2.37
2014,경북,시,재산세,242704105000,1.78
2014,경북,시,주민세,70541351000,0.52
2014,경북,시,지방소득세,410214096000,3.01
2014,경북,시,지역자원시설세,0,0
2014,경북,시도,과년도수입,10252377000,0.02
2014,경북,시도,담배소비세,0,0
2014,경북,시도,등록면허세,62281965000,0.14
2014,경북,시도,레저세,0,0
2014,경북,시도,자동차세,0,0
2014,경북,시도,지방교육세,243544882000,0.52
2014,경북,시도,지역자원시설세,80095989000,0.17
2014,경북,시도,취득세,786621190000,1.7
2014,광주,시도,과년도수입,18317455000,0.04
2014,광주,시도,담배소비세,78235403000,0.17
2014,광주,시도,도시계획세(재산세),137388000,0
2014,광주,시도,도축세,0,0
2014,광주,시도,등록면허세,36547669000,0.08
2014,광주,시도,레저세,18314775000,0.04
2014,광주,시도,자동차세,206962060000,0.45
2014,광주,시도,재산세,146172018000,0.32
2014,광주,시도,주민세,28106762000,0.06
2014,광주,시도,지방교육세,123925325000,0.27
2014,광주,시도,지방소득세,192268778000,0.42
2014,광주,시도,지역자원시설세,25574220000,0.06
2014,광주,시도,취득세,361838428000,0.79
2014,대구,군,과년도수입,1336739000,0.07
2014,대구,군,담배소비세,11005824000,0.54
2014,대구,군,도시계획세(재산세),7824000,0
2014,대구,군,도축세,0,0
2014,대구,군,자동차세,30488183000,1.48
2014,대구,군,재산세,27229201000,1.33
2014,대구,군,주민세,6704441000,0.33
2014,대구,군,지방소득세,26732939000,1.3
2014,대구,군,지역자원시설세,0,0
2014,대구,시도,과년도수입,17867666000,0.04
2014,대구,시도,담배소비세,121509769000,0.26
2014,대구,시도,도시계획세(재산세),86102000,0
2014,대구,시도,도축세,0,0
2014,대구,시도,등록면허세,61357296000,0.14
2014,대구,시도,레저세,9847729000,0.02
2014,대구,시도,자동차세,327731570000,0.71
2014,대구,시도,재산세,276458739000,0.6
2014,대구,시도,주민세,30822807000,0.07
2014,대구,시도,지방교육세,225386572000,0.49
2014,대구,시도,지방소득세,267229124000,0.58
2014,대구,시도,지역자원시설세,40418739000,0.09
2014,대구,시도,취득세,776053135000,1.69
2014,대전,시도,과년도수입,-182685000,0
2014,대전,시도,담배소비세,115105695000,0.25
2014,대전,시도,도시계획세(재산세),2445000,0
2014,대전,시도,도축세,0,0
2014,대전,시도,등록면허세,33875290000,0.07
2014,대전,시도,레저세,19726675000,0.04
2014,대전,시도,자동차세,199780309000,0.43
2014,대전,시도,재산세,191257635000,0.42
2014,대전,시도,주민세,34708252000,0.07
2014,대전,시도,지방교육세,146740265000,0.32
2014,대전,시도,지방소득세,209949586000,0.46
2014,대전,시도,지역자원시설세,28120170000,0.06
2014,대전,시도,취득세,371052843000,0.81
2014,부산,군,과년도수입,812988000,0.04
2014,부산,군,담배소비세,7106697000,0.35
2014,부산,군,도시계획세(재산세),169000,0
2014,부산,군,도축세,0,0
2014,부산,군,자동차세,15001441000,0.73
2014,부산,군,재산세,34805196000,1.69
2014,부산,군,주민세,3794555000,0.18
2014,부산,군,지방소득세,19799805000,0.96
2014,부산,군,지역자원시설세,0,0
2014,부산,시도,과년도수입,27442795000,0.06
2014,부산,시도,담배소비세,180855610000,0.39
2014,부산,시도,도시계획세(재산세),21411000,0
2014,부산,시도,도축세,0,0
2014,부산,시도,등록면허세,90322179000,0.19
2014,부산,시도,레저세,113760039000,0.25
2014,부산,시도,자동차세,509627585000,1.11
2014,부산,시도,재산세,436472931000,0.95
2014,부산,시도,주민세,58187342000,0.13
2014,부산,시도,지방교육세,350142715000,0.76
2014,부산,시도,지방소득세,480991290000,1.04
2014,부산,시도,지역자원시설세,89596582000,0.19
2014,부산,시도,취득세,1077765784000,2.34
2014,서울,시도,과년도수입,196489220000,0.42
2014,서울,시도,담배소비세,542313477000,1.18
2014,서울,시도,도시계획세(재산세),-222212000,0
2014,서울,시도,등록면허세,351119406000,0.76
2014,서울,시도,레저세,149690608000,0.32
2014,서울,시도,자동차세,1063527019000,2.31
2014,서울,시도,재산세,2791647869000,6.07
2014,서울,시도,주민세,374982174000,0.81
2014,서울,시도,지방교육세,1187904707000,2.58
2014,서울,시도,지방소득세,3324651128000,7.22
2014,서울,시도,지역자원시설세,231655599000,0.5
2014,서울,시도,취득세,3311172838000,7.19
2014,세종,시도,과년도수입,7942000,0
2014,세종,시도,담배소비세,10565767000,0.02
2014,세종,시도,도시계획세(재산세),-183000,0
2014,세종,시도,도축세,0,0
2014,세종,시도,등록면허세,7805834000,0.02
2014,세종,시도,레저세,0,0
2014,세종,시도,자동차세,19132561000,0.04
2014,세종,시도,재산세,33490193000,0.07
2014,세종,시도,주민세,4530053000,0.01
2014,세종,시도,지방교육세,29777515000,0.06
2014,세종,시도,지방소득세,33595394000,0.07
2014,세종,시도,지역자원시설세,2634747000,0.01
2014,세종,시도,취득세,198093352000,0.43
2014,울산,군,과년도수입,1172054000,0.06
