회계연도,지역명,자치단체명,본청여부,당초예산,세입결산,오차액,오차율
2012,전북,전북전주시,N,1204238451000,1394866650554,190628199554,15.8298
2012,전북,전북정읍시,N,565827594000,767985960301,202158366301,35.7279
2012,전북,전북진안군,N,259788634000,366625383834,106836749834,41.1245
2012,제주,제주본청,Y,3390632441000,4214780624895,824148183895,24.3066
2012,충남,충남계룡시,N,132735011000,174074726261,41339715261,31.1445
2012,충남,충남공주시,N,522236625000,713189095173,190952470173,36.5644
2012,충남,충남금산군,N,299966014000,413250806771,113284792771,37.7659
2012,충남,충남논산시,N,467000143000,633053768269,166053625269,35.5575
2012,충남,충남당진시,N,620635966000,764101173383,143465207383,23.1158
2012,충남,충남보령시,N,498759697000,631788679091,133028982091,26.672
2012,충남,충남본청,Y,4915500000000,5352153158910,436653158910,8.8832
2012,충남,충남부여군,N,388190311000,542086677897,153896366897,39.6446
2012,충남,충남서산시,N,544301176000,710714943918,166413767918,30.5738
2012,충남,충남서천군,N,323537738000,454896373058,131358635058,40.6007
2012,충남,충남아산시,N,783567706000,1046817833505,263250127505,33.5963
2012,충남,충남예산군,N,387463055000,519284601877,131821546877,34.0217
2012,충남,충남천안시,N,1201387994000,1379376899012,177988905012,14.8153
2012,충남,충남청양군,N,256677560000,378475040899,121797480899,47.4516
2012,충남,충남태안군,N,306983685000,484847720668,177864035668,57.9392
2012,충남,충남홍성군,N,422700310000,541792980599,119092670599,28.1743
2012,충북,충북괴산군,N,261697895000,424835958380,163138063380,62.3383
2012,충북,충북단양군,N,249483264000,342899236916,93415972916,37.4438
2012,충북,충북보은군,N,239079974000,322702575753,83622601753,34.9768
2012,충북,충북본청,Y,3308567275000,3688989088459,380421813459,11.4981
2012,충북,충북영동군,N,286388420000,411126832697,124738412697,43.5557
2012,충북,충북옥천군,N,285854635000,377730262010,91875627010,32.1407
2012,충북,충북음성군,N,357229644000,481058270776,123828626776,34.6636
2012,충북,충북제천시,N,476630757000,569554755748,92923998748,19.496
2012,충북,충북증평군,N,168280410000,208169791744,39889381744,23.7041
2012,충북,충북진천군,N,293314326000,365832190967,72517864967,24.7236
2012,충북,충북청원군,N,496963371000,681873115047,184909744047,37.2079
2012,충북,충북청주시,N,1101670218000,1375113446557,273443228557,24.8208
2012,충북,충북충주시,N,697938754000,914633782730,216695028730,31.0479
