회계연도,지역명,자치단체명,자치단체코드,본청여부,전년도현재액,증감액총계,조성액,사용액,당해년도현재액
2014,경기,경기안성시,4132000,N,46893771398,-6827511728,7986807602,14814319330,40066259670
2014,경기,경기김포시,4133000,N,8775489120,530888690,2376298620,1845409930,9306377810
2014,경기,경기화성시,4134000,N,37537266433,7852674300,14102728176,6250053876,45389940733
2014,경기,경기광주시,4135000,N,31015224163,5893351219,15444384151,9551032932,36908575382
2014,경기,경기양주시,4136000,N,22282395135,1093897120,2041431880,947534760,23376292255
2014,경기,경기포천시,4137000,N,31837861453,-937088,3534247702,3535184790,31836924365
2014,경기,경기여주시,4138000,N,39965312488,39613826938,42661643348,3047816410,79579139426
2014,경기,경기연천군,4175000,N,11596944410,684928911,3779221131,3094292220,12281873321
2014,경기,경기가평군,4177000,N,36788824118,5686063940,6808405430,1122341490,42474888058
2014,경기,경기양평군,4178000,N,31155668155,771345795,3968085085,3196739290,31927013950
2014,강원,강원본청,4200000,Y,400382729988,39944818353,195938400703,155993582350,440327548341
2014,강원,강원춘천시,4211000,N,159500101706,6318106478,92827576390,86509469912,165818208184
2014,강원,강원원주시,4212000,N,23856683883,2539979631,4723610216,2183630585,26396663514
2014,강원,강원강릉시,4213000,N,18447159366,2456356074,3792759514,1336403440,20903515440
2014,강원,강원동해시,4214000,N,9610633968,479897693,996838363,516940670,10090531661
2014,강원,강원태백시,4215000,N,7609983457,823519402,1177291702,353772300,8433502859
2014,강원,강원속초시,4216000,N,16988915898,1691424985,2755784695,1064359710,18680340883
2014,강원,강원삼척시,4217000,N,5696686698,307090031,617997791,310907760,6003776729
2014,강원,강원홍천군,4271000,N,21092030842,1689622477,3688662065,1999039588,22781653319
2014,강원,강원횡성군,4272000,N,9346136189,272398630,884368160,611969530,9618534819
2014,강원,강원영월군,4273000,N,4324922028,136321035,384227055,247906020,4461243063
2014,강원,강원평창군,4274000,N,15531260565,1866440089,2782086609,915646520,17397700654
2014,강원,강원정선군,4275000,N,39248882810,140815781,927741401,786925620,39389698591
2014,강원,강원철원군,4276000,N,6583309874,299972146,4552886470,4252914324,6883282020
2014,강원,강원화천군,4277000,N,18098628873,839539243,1382203129,542663886,18938168116
2014,강원,강원양구군,4278000,N,17718674434,1347143323,2165936751,818793428,19065817757
2014,강원,강원인제군,4279000,N,7049451641,630255667,2156902844,1526647177,7679707308
2014,강원,강원고성군,4280000,N,3916148640,30319254,235337894,205018640,3946467894
2014,강원,강원양양군,4281000,N,13029821480,851162685,1137008087,285845402,13880984165
2014,충북,충북본청,4300000,Y,162994628021,-8738153733,38886680142,47624833875,154256474288
2014,충북,충북충주시,4312000,N,15941405691,484425100,2355606730,1871181630,16425830791
2014,충북,충북제천시,4313000,N,16049524039,3599622770,13647748992,10048126222,19649146809
2014,충북,충북청주시(신),4314000,N,82168697223,3377321002,17802714030,14425393028,85546018225
2014,충북,충북보은군,4372000,N,8524265987,178710312,576290922,397580610,8702976299
2014,충북,충북옥천군,4373000,N,11525670640,-2491770970,704618770,3196389740,9033899670
2014,충북,충북영동군,4374000,N,6530166237,97753523,673527233,575773710,6627919760
2014,충북,충북진천군,4375000,N,4347434629,612576580,1275784140,663207560,4960011209
2014,충북,충북괴산군,4376000,N,6317233010,337960680,734764870,396804190,6655193690
2014,충북,충북음성군,4377000,N,6858674655,1348847517,2263238367,914390850,8207522172
2014,충북,충북단양군,4378000,N,5486032300,1210102530,1486968530,276866000,6696134830
2014,충북,충북증평군,4379000,N,4243193105,164946595,463148555,298201960,4408139700
2014,충남,충남본청,4400000,Y,217492406598,11114190555,24740488485,13626297930,228606597153
2014,충남,충남천안시,4411000,N,34627889859,5955528041,10046249519,4090721478,40583417900
2014,충남,충남공주시,4412000,N,5522055283,278980924,1229696194,950715270,5801036207
2014,충남,충남보령시,4413000,N,10167718569,615738136,14304892886,13689154750,10783456705
2014,충남,충남아산시,4414000,N,23232090989,2735938732,8950651507,6214712775,25968029721
2014,충남,충남서산시,4415000,N,15602443534,2298572718,4494370448,2195797730,17901016252
2014,충남,충남논산시,4416000,N,7803034421,435318191,1150568601,715250410,8238352612
2014,충남,충남계룡시,4417000,N,11154099148,-5621756174,652777106,6274533280,5532342974
2014,충남,충남당진시,4418000,N,15399111587,-525398825,2294265947,2819664772,14873712762
2014,충남,충남금산군,4471000,N,4802471003,-573926046,1899831531,2473757577,4228544957
2014,충남,충남부여군,4473000,N,6459630996,430018031,2056355481,1626337450,6889649027
2014,충남,충남서천군,4474000,N,19679887161,5587075525,7170028665,1582953140,25266962686
2014,충남,충남청양군,4475000,N,12837336061,-2031444286,2911798553,4943242839,10805891775
2014,충남,충남홍성군,4476000,N,25236161261,3808207629,4768436429,960228800,29044368890
2014,충남,충남예산군,4477000,N,19797533570,7262623191,10795141579,3532518388,27060156761
2014,충남,충남태안군,4478000,N,3769584466,-1576835565,2008829727,3585665292,2192748901
2014,전북,전북본청,4500000,Y,303480260187,16396157415,44878545734,28482388319,319876417602
2014,전북,전북전주시,4511000,N,29044471270,949382142,21108499329,20159117187,29993853412
2014,전북,전북군산시,4512000,N,29361794027,-6971813176,5302507254,12274320430,22389980851
2014,전북,전북익산시,4513000,N,27437231615,-602760198,2816705390,3419465588,26834471417
2014,전북,전북정읍시,4514000,N,35876496457,2248737757,17005299247,14756561490,38125234214
2014,전북,전북남원시,4515000,N,9275732826,-352152909,1269396291,1621549200,8923579917
2014,전북,전북김제시,4516000,N,23884962694,-714608340,2305740980,3020349320,23170354354
2014,전북,전북완주군,4571000,N,7646570041,761224022,1355353632,594129610,8407794063
2014,전북,전북진안군,4572000,N,5561604898,1063965290,1480089920,416124630,6625570188
2014,전북,전북무주군,4573000,N,3840956610,-599516468,572588462,1172104930,3241440142
2014,전북,전북장수군,4574000,N,13551307631,9176639635,10928360185,1751720550,22727947266
2014,전북,전북임실군,4575000,N,7794719332,292035409,4033683330,3741647921,8086754741
2014,전북,전북순창군,4576000,N,14008909832,3992719833,6186551189,2193831356,18001629665
2014,전북,전북고창군,4577000,N,11669214278,999244387,1968742575,969498188,12668458665
2014,전북,전북부안군,4578000,N,9656483477,239223919,476874830,237650911,9895707396
2014,전남,전남본청,4600000,Y,249046226958,42208755821,237256906966,195048151145,291254982779
2014,전남,전남목포시,4611000,N,22694585269,2056888910,8022070291,5965181381,24751474179
2014,전남,전남여수시,4612000,N,45555435658,6364436522,10124814363,3760377841,51919872180
2014,전남,전남순천시,4613000,N,24652698319,2153541274,6311043280,4157502006,26806239593
2014,전남,전남나주시,4614000,N,14921678632,5081568037,6671834487,1590266450,20003246669
2014,전남,전남광양시,4615000,N,15444796330,1024077850,4718614384,3694536534,16468874180
2014,전남,전남담양군,4671000,N,15682074690,5756552336,7339998706,1583446370,21438627026
2014,전남,전남곡성군,4672000,N,7278585972,-52633356,2264038774,2316672130,7225952616
2014,전남,전남구례군,4673000,N,9346916249,502871979,1884318739,1381446760,9849788228
2014,전남,전남고흥군,4674000,N,19222155920,6703279762,7423639852,720360090,25925435682
2014,전남,전남보성군,4675000,N,2569637250,227152709,522974419,295821710,2796789959
2014,전남,전남화순군,4676000,N,2490109730,108092870,897909432,789816562,2598202600
2014,전남,전남장흥군,4677000,N,1596426816,-208604647,306064103,514668750,1387822169
2014,전남,전남강진군,4678000,N,4686484116,255662703,614898573,359235870,4942146819
2014,전남,전남해남군,4679000,N,44448652353,8229417951,10697492691,2468074740,52678070304
2014,전남,전남영암군,4680000,N,50251003457,-4774959759,2738547141,7513506900,45476043698
2014,전남,전남무안군,4681000,N,5195704700,1022807550,1856633910,833826360,6218512250
2014,전남,전남함평군,4682000,N,13352443200,-2805383307,1696529421,4501912728,10547059893
2014,전남,전남영광군,4683000,N,51939901160,5931851654,9144822944,3212971290,57871752814
2014,전남,전남장성군,4684000,N,5392935530,563564430,909480710,345916280,5956499960
2014,전남,전남완도군,4685000,N,6257720824,1283804594,1604234544,320429950,7541525418
2014,전남,전남진도군,4686000,N,4650706302,-1656282988,333280712,1989563700,2994423314
2014,전남,전남신안군,4687000,N,3858926447,486025504,1238324234,752298730,4344951951
2014,경북,경북본청,4700000,Y,592644386531,90819581595,171378602050,80559020455,683463968126
2014,경북,경북포항시,4711000,N,41019681357,1862456719,6215598579,4353141860,42882138076
2014,경북,경북경주시,4712000,N,25612526050,955460467,5432048207,4476587740,26567986517
2014,경북,경북김천시,4713000,N,7634083599,330667328,1742860028,1412192700,7964750927
2014,경북,경북안동시,4714000,N,8423255955,399296335,1816913685,1417617350,8822552290
2014,경북,경북구미시,4715000,N,14926246637,5973258898,8985558678,3012299780,20899505535
2014,경북,경북영주시,4716000,N,4860761878,218036461,1666562081,1448525620,5078798339
2014,경북,경북영천시,4717000,N,11663296857,1780385190,2563342400,782957210,13443682047
2014,경북,경북상주시,4718000,N,32272299769,3281361990,3940778030,659416040,35553661759
2014,경북,경북문경시,4719000,N,5079521953,765179426,1568202646,803023220,5844701379
2014,경북,경북경산시,4720000,N,11743442871,-1031590950,1843001468,2874592418,10711851921
2014,경북,경북군위군,4771000,N,1613479005,324741260,865949804,541208544,1938220265
2014,경북,경북의성군,4772000,N,802242836,148114157,833259387,685145230,950356993
2014,경북,경북청송군,4773000,N,1229596594,-82304340,95654560,177958900,1147292254
2014,경북,경북영양군,4774000,N,1332616794,1116438545,1491416250,374977705,2449055339
2014,경북,경북영덕군,4775000,N,1097783921,124056703,142416703,18360000,1221840624
2014,경북,경북청도군,4776000,N,1870808000,120144870,844343000,724198130,1990952870
2014,경북,경북고령군,4777000,N,2505793365,3997403,322197973,318200570,2509790768
2014,경북,경북성주군,4778000,N,4446652660,715911920,2446462340,1730550420,5162564580
2014,경북,경북칠곡군,4779000,N,3532248770,427864500,1073343870,645479370,3960113270
2014,경북,경북예천군,4780000,N,1676807902,-312062634,830955656,1143018290,1364745268
2014,경북,경북봉화군,4781000,N,4057670005,2471023700,5005251630,2534227930,6528693705
2014,경북,경북울진군,4782000,N,3314620093,968100050,1771535050,803435000,4282720143
2014,경북,경북울릉군,4783000,N,1789098618,169723950,212381550,42657600,1958822568
2014,경남,경남본청,4800000,Y,399349440663,-6506210504,103228172403,109734382907,392843230159
2014,경남,경남창원시,4811000,N,109234571984,194615506,41917239397,41722623891,109429187490
2014,경남,경남진주시,4813000,N,33110270073,1072609468,4459331718,3386722250,34182879541
2014,경남,경남통영시,4815000,N,18630119948,929443941,2018224971,1088781030,19559563889
2014,경남,경남사천시,4816000,N,5880159819,994839128,2061802868,1066963740,6874998947
2014,경남,경남김해시,4817000,N,22791564042,-130469936,7511865444,7642335380,22661094106
2014,경남,경남밀양시,4818000,N,7831356529,1044121783,2044055413,999933630,8875478312
2014,경남,경남거제시,4819000,N,25258370792,2378804810,4865151060,2486346250,27637175602
2014,경남,경남양산시,4820000,N,26508534184,1129157790,3985220970,2856063180,27637691974
2014,경남,경남의령군,4871000,N,24169967296,2259583841,3884608911,1625025070,26429551137
2014,경남,경남함안군,4872000,N,8286279378,652116010,5212179150,4560063140,8938395388
2014,경남,경남창녕군,4873000,N,18629835629,-130767711,2630470609,2761238320,18499067918
2014,경남,경남고성군,4874000,N,1087653912,329644920,506989830,177344910,1417298832
2014,경남,경남남해군,4875000,N,11688219501,339755330,831928090,492172760,12027974831
2014,경남,경남하동군,4876000,N,12646241244,448655570,1268458800,819803230,13094896814
